t,10∫≈÷ßº‹,20∫≈÷ßº‹,30∫≈÷ßº‹,40∫≈÷ßº‹,50∫≈÷ßº‹,60∫≈÷ßº‹,70∫≈÷ßº‹,80∫≈÷ßº‹,90∫≈÷ßº‹,100∫≈÷ßº‹,110∫≈÷ßº‹,120∫≈÷ßº‹,130∫≈÷ßº‹,140∫≈÷ßº‹
2020-10-01 00:58:00,0.353333333,0.16,0.368333333,0.386666667,0.366666667,0.418333333,0.755,0.286666667,0,0.173333333,0.281666667,0.29,0.133333333,0.22
2020-10-01 02:06:00,0.161666667,0.155,0.216666667,0.388333333,0.51,0.518333333,0.923333333,0.263333333,0,0.225,0.32,0.288333333,0.18,0.238333333
2020-10-01 04:40:00,0.251666667,0.245,0.268333333,0.463333333,0.505,0.275,0.4,0.256666667,0.46,0.26,0.338333333,0.23,0.216666667,0.241666667
2020-10-01 10:37:00,0.115,0.14,0.25,0.648333333,0.271666667,0.22,0.506666667,0.306666667,0.125,0.243333333,0.426666667,0.426666667,0.273333333,0.293333333
2020-10-01 16:11:00,0.103333333,0.166666667,0.423333333,0.493333333,0.268333333,0.181666667,0.215,0.353333333,0.31,0.19,0.435,0.256666667,0.281666667,0.493333333
2020-10-01 23:50:00,0.136666667,0.151666667,0.565,0.396666667,0.466666667,0.176666667,0.16,0.398333333,0.466666667,0.151666667,0.493333333,0.311666667,0.328333333,0.536666667
2020-10-02 01:37:00,0.19,0.123333333,0.423333333,0.303333333,0.521666667,0.191666667,0.24,0.333333333,0.545,0.251666667,0.351666667,0.361666667,0.226666667,0.411666667
2020-10-02 04:39:00,0.12,0.24,0.346666667,0.296666667,0.48,0.563333333,0.35,0.396666667,0.36,0.225,0.41,0.516666667,0.325,0.42
2020-10-02 10:31:00,0.11,0.205,0.445,0.22,0.523333333,0.655,0.468333333,0.471666667,0.34,0.353333333,0.393333333,0.443333333,0.43,0.381666667
2020-10-02 12:15:00,0.225,0.328333333,0.526666667,0.211666667,0.356666667,0.643333333,0.648333333,0.536666667,0.46,0.123333333,0.321666667,0.556666667,0.51,0.371666667
2020-10-02 15:35:00,0.25,0.341666667,0.496666667,0.235,0.465,0.396666667,0.791666667,0.811666667,0.558333333,0.16,0.408333333,0.425,0.456666667,0.306666667
2020-10-02 22:47:00,0.193333333,0.393333333,0.463333333,0.191666667,0.303333333,0.29,0.381666667,0.953333333,0.616666667,0.126666667,0.385,0.483333333,0.516666667,0.333333333
2020-10-03 00:56:00,0.065,0.285,0.508333333,0.121666667,0.195,0.138333333,0.433333333,0.695,0.576666667,0.133333333,0.216666667,0.52,0.555,0.218333333
2020-10-03 03:09:00,0.355,0.251666667,0.475,0.208333333,0.166666667,0.13,0.371666667,0.64,0.623333333,0.408333333,0.158333333,0.23,0.605,0.24
2020-10-03 05:23:00,0.488333333,0.42,0.5,0.273333333,0.11,0.103333333,0.401666667,0.453333333,0.398333333,0.528333333,0.156666667,0.246666667,0.328333333,0.196666667
2020-10-03 11:20:00,0.368333333,0.465,0.515,0.261666667,0.146666667,0.16,0.503333333,0.495,0.296666667,0.323333333,0.233333333,0.321666667,0.4,0.143333333
2020-10-03 23:08:00,0.201666667,0.546666667,0.406666667,0.148333333,0.345,0.148333333,0.211666667,0.53,0.341666667,0.673333333,0.268333333,0.338333333,0.426666667,0.103333333
2020-10-04 01:32:00,0.233333333,0.81,0.685,0.193333333,0.525,0.196666667,0.308333333,0.636666667,0.383333333,0.56,0.606666667,0.36,0.263333333,0.243333333
2020-10-04 03:33:00,0.35,0.788333333,0.84,0.19,0.683333333,0.255,0.593333333,0.456666667,0.255,0.316666667,0.533333333,0.441666667,0.335,0.271666667
2020-10-04 06:42:00,0.648333333,0.933333333,0.378333333,0.388333333,0.93,0.811666667,0.913333333,0.546666667,0.348333333,0.425,0.475,0.503333333,0.25,0.19
