,t,x,y,z,e,label
0,2020-12-22 05:33:00,550563.11,4432634.56,925.95,5087.5,0
1,2020-12-22 23:45:00,550324.11,4432687.32,905.74,8434.53,0
2,2020-12-23 00:05:00,550174.02,4432563.9,898.93,10678.19,0
3,2020-12-23 00:17:00,550234.13,4432677.87,920.69,5088.94,0
4,2020-12-23 02:59:00,550223.65,4432565,922.75,6746.89,0
5,2020-12-23 05:44:00,550230.54,4432625.17,903.83,3721.48,0
6,2020-12-23 06:03:00,550255.94,4432572.33,912.25,4032.48,0
7,2020-12-23 15:09:00,550234.6,4432649.9,902.08,4515.1,0
8,2020-12-24 02:04:00,550213.53,4432610.7,899.4,3837.18,0
9,2020-12-24 10:48:00,550264.9,4432630.32,900.73,4673.32,0
10,2020-12-25 00:25:00,550068.22,4432523.28,907.31,2725.32,0
11,2020-12-25 03:41:00,550338.18,4432706.4,913.2,3251.98,0
12,2020-12-25 06:58:00,550193.68,4432564.21,900.9,4523.92,0
13,2020-12-25 18:50:00,550272.86,4432599.32,906.32,2392.77,0
14,2020-12-25 22:55:00,550201.64,4432642.22,912.36,2390.56,0
15,2020-12-26 00:10:00,550229.02,4432511.43,904.59,3755.01,0
16,2020-12-26 08:13:00,550124.4,4432470.72,931.52,3497.67,0
17,2020-12-26 13:38:00,550186.27,4432464.11,911.02,5680.54,0
18,2020-12-27 01:21:00,550256.39,4432580.57,910.52,9396.59,0
19,2020-12-27 12:35:00,550229.41,4432702.73,926.41,12586.65,0
20,2020-12-27 12:59:00,550128.61,4432729.39,949.09,6597.55,0
21,2020-12-27 15:11:00,550288.55,4432619.34,909.05,8130.3,0
22,2020-12-28 11:46:00,550195.21,4432499.94,903.79,9771.34,0
23,2020-12-28 14:10:00,550241.42,4432681.9,912.75,7123.07,0
24,2020-12-30 15:24:00,550168.19,4432482.78,905.25,11093.15,0
25,2020-12-31 02:26:00,550241.15,4432636.15,910.22,1011.58,0
26,2021-01-01 08:04:00,549942.6,4432538.18,911.47,5273.89,0
27,2021-01-01 10:26:00,550490.23,4432316.97,926.13,5060.95,0
28,2021-01-01 13:54:00,550219.21,4432716.1,906.25,3216.58,0
29,2021-01-02 07:11:00,550098.08,4432485.33,906.07,3850.96,0
30,2021-01-03 05:30:00,550015.51,4432722.42,907.3,2572.78,0
31,2021-01-03 14:12:00,550235.86,4432662.6,899.23,1828.36,0
32,2021-01-03 17:03:00,550110.54,4432750.76,911.95,3411.34,0
33,2021-01-03 20:49:00,550052.54,4432487.4,906.7,3512.84,0
34,2021-01-04 15:46:00,550223.06,4432616.88,910.19,4024.32,0
35,2021-01-06 00:10:00,550250.21,4432707.55,921.48,5884.27,0
36,2021-01-06 05:11:00,550233.14,4432579.22,899.71,6000.23,0
37,2021-01-06 16:28:00,550283.4,4432720.42,909.39,7741.03,0
38,2021-01-06 17:41:00,550200.02,4432522.8,906.77,5430.02,0
39,2021-01-06 18:00:00,550239.29,4432529.02,910.28,18683.6,1
40,2021-01-07 00:43:00,550205.74,4432608.57,910.25,13424.87,0
41,2021-01-07 03:47:00,550263.83,4432704.36,943.31,26815,1
42,2021-01-07 03:53:00,550290.26,4432720.18,919.54,18660.66,1
43,2021-01-07 04:14:00,550176.06,4432589.63,906.46,7627.16,0
44,2021-01-07 06:21:00,550203.56,4432609.73,918.96,13054.33,0
45,2021-01-07 12:58:00,550311.11,4432767.32,928.31,7459.83,0
46,2021-01-07 13:17:00,550215.58,4432581.46,911.6,5758.43,0
47,2021-01-07 18:35:00,550372.05,4432657.14,937.1,7040.3,0
48,2021-01-08 01:03:00,550193.49,4432486.06,906.99,3806.13,0
49,2021-01-08 09:18:00,550112.4,4432524.82,920.56,4939.82,0
50,2021-01-08 12:14:00,550183.3,4432476.35,901.87,4336.55,0
51,2021-01-09 17:03:00,550204.01,4432495.15,907.03,1747.98,0
52,2021-01-09 17:11:00,550161.56,4432508.05,908,4878.7,0
53,2021-01-09 22:51:00,550132.81,4432493.17,902.66,1524.43,0
54,2021-01-09 23:47:00,550221.84,4432637.78,907.05,2507.5,0
55,2021-01-10 00:10:00,550221.62,4432647.39,901.1,5178.29,0
56,2021-01-10 08:07:00,550233.27,4432656.85,913.22,4854.17,0
57,2021-01-10 21:31:00,550217.13,4432583,908.2,3228.06,0
58,2021-01-11 00:28:00,550172.11,4432519.16,906.86,3005.77,0
59,2021-01-11 02:24:00,550242.6,4432582.3,907.15,1209.64,0
60,2021-01-11 03:15:00,550199.45,4432490.74,907.01,2191.58,0
61,2021-01-11 13:52:00,550233.85,4432482.56,906.5,2033.55,0
62,2021-01-12 03:40:00,550189.57,4432499.25,907.1,7583.93,0
63,2021-01-12 07:12:00,550171.66,4432560.55,928.34,4085.66,0
64,2021-01-12 08:11:00,550229.32,4432667.63,912.51,6018.67,0
65,2021-01-12 11:12:00,550240.75,4432686.06,908.94,4881.7,0
66,2021-01-12 16:07:00,550231.43,4432644.68,903.38,3337.48,0
67,2021-01-13 01:59:00,550223.94,4432637.66,899.13,9647.78,0
68,2021-01-13 05:00:00,550221.69,4432642.75,900.39,9931.18,0
69,2021-01-13 12:16:00,550190.21,4432561.47,907.1,5969.61,0
70,2021-01-13 12:26:00,550171.39,4432539.4,904.83,9495.06,0
71,2021-01-13 13:43:00,550232.47,4432677.08,899.79,7731.17,0
72,2021-01-13 18:25:00,550184.92,4432515.09,907.14,14064.79,0
73,2021-01-13 18:59:00,550140.19,4432512.12,906.99,8006.1,0
74,2021-01-14 02:10:00,550264.39,4432686.68,912.78,7186.08,0
75,2021-01-14 05:48:00,550129.19,4432480.61,905.54,8245.18,0
76,2021-01-14 07:44:00,550167.54,4432569.17,934.81,6025.66,0
77,2021-01-14 08:39:00,550215.96,4432656.15,905.19,9863.68,0
